Title,Author,Finished,Year
Diary of a Young Naturalist,Dara McAnulty,2020-12-30,2020
Not Quite Worlds End,John Simpson,2020-12-19,2020
On the Road,Jack Kerouac,2020-12-14,2020
Mistress,James Patterson,2020-11-05,2020 
The Savage Shore,David Hewson,2020-11-05,2020
The Distant Echo,Val McDermid,2020-10-23,2020
Run Away,Harlan Coben,2020-09-13,2020
The Son,Jo Nesbo,2020-10-05,2020
Ghosts of Spain,Giles Tremlett,2020-08-21,2020
Rebecca,Daphne du Maurier,2020-08-31,2020 
Blindfold Game,Dana Stabenow,2020-08-18,2020
Takeoff Seth Walker Book 1,Joseph Reid,2020-7-29,2020
Nigel My Family and Other Dogs,Monty Don,2020-07-22,2020
A Man,Keiichiro Hirano,2020-07-14,2020
The Last Emperox,John Scalzi,2020-07-05,2020
Ultimatum,Frank Gardner,2020-06-19,2020
Paul OGradys County Life,Paul OGradys,2020-06-12,2020
The Consuming Fire,John Scalzi,2020-06-04,2020
Blueeyedboy,Joanne Harris,2020-05-29,2020
First Man The Life of Neil Armstrong,James R Hanson,2020-05-22,2020
A Fatal Thaw,Dana Stabenow,2020-05-16,2020
Gentlemen and Players,Joanne Harris,2020-05-09,2020
The Night Fire,Michael Connelly,2020-05-03,2020
The Collapsing Empire,John Scalzi,2020-04-30,2020
Interesting Times,Terry Pratchett,2020-04-22,2020
The Strange Case of the Moderate Extremists,Alexander McCall Smith,2020-04-12,2020
The Department of Sensitive Crimes,Alexander McCall Smith,2020-04-12,2020
A Cold Day for a Murder,Dan Stabenow,2020-04-01,2020
Stalins Ghost,Martin Cruz Smith,2020-03-30,2020
Rubbernecker,Belinda Bauer,2020-03-24,2020
Elevation,Stephen King,2020-03-21,2020
Different Class,Joanne Harris,2020-03-18,2020
Soul Music,Terry Pratchett,2020-03-03,2020
Girl Most Likely,Max Allan Collins,2020-02-19,2020
The King Tides,James Swain,2020-02-12,2020
Burned,Sam McBride,2020-02-07,2020
The Reluctant Expat Part Four,Alan Laycock,2020-01-29,2020
The Reluctant Expat Part Three,Alan Laycock,2020-01-23,2020
The Reluctant Expat Part Two,Alan Laycock,2020-01-18,2020
The Reluctant Expat Part One,Alan Laycock,2020-01-12,2020
The First Casualty,Ben Elton,2020-01-07,2020
