Title,Author,Finished,Year
After London,Richard Jefferies,2012-01-20,2012
Suicide Run,Michael Connelly,2012-01-24,2012
Angle of Investigation,Michael Connelly,2012-01-29,2012
Burglars Cant Be Choosers,Lawrence Block,2012-02-09,2012
Girl with the Dragon Tatoo,Stieg Larsson,2012-03-14,2012
The Final Detail,Harlan Coben,2012-03-24,2012
The Girl Who Played with Fire,Stieg Larsson,2012-04-19,2012
The Fifth Woman: An Inspector Wallander Mystery,Henning Mankell,2012-05-18,2012
The Burglar Who Studied Spinoza,Lawrence Block,2012-05-27,2012
2001: A Space Odyssey,Arthur C. Clarke,2012-06-04,2012
The Girl Who Kicked the Hornets Nest,Stieg Larsson,2012-06-24,2012
Dantes Numbers (Nic Costa),David Hewson,2012-08-01,2012
The Burglar Who Painted Like He Was Mondrian,Lawrence Block,2012-08-09,2012
The Burglar in the Closet: A Bernie Rhodenbarr Mystery,Lawrence Block,2012-09-21,2012
The Burglar Who Traded Ted Williams,Lawrence Block,2012-09-21,2012
The Measure of the Magic: Legends of Shannara: Book Two,Terry Brooks,2012-09-21,2012
John Peel: A Tribute to the Much-Loved DJ and Broadcaster,Wall Mick,2012-10-02,2012
Moon Over Soho (Rivers of London 2),Ben Aaronovitch,2012-10-09,2012
The Drop ,Michael Connelly,2012-10-24,2012
The Bat: A Harry Hole Thriller (Harry Hole 1),Jo Nesbo,2012-11-06,2012
The Burglar Who Thought He Was Bogart,Lawrence Block,2012-11-11,2012
Whispers Under Ground (Rivers of London 3),Ben Aaronovitch,2012-11-20,2012
The Colour Of Magic: (Discworld Novel 1) Omnibus (Discworld Novels),Terry Pratchett,2012-11-30,2012
The Man Who Smiled (Kurt Wallander),Henning Mankell,2012-12-23,2012
