Title,Author,Finished
Lost Hills,Lee Goldberg,2019-12-30
The Drowned World,JG Ballard,2019-12-15
The Marrow Thieves,Cherie Dimaline,2019-12-22
Being Elvis,Ray Connolley,2019-12-20
Fingers in the Sparkle Jar,Chris Packham,2019-12-16
Mystery in White,J Jerfferson Farjeon,2019-12-11
Fat Man on a Bicycle,Tom Vernon,2019-12-05
Homage to Catalonia,George Orwell,2019-11-13
The Tour According to G,Geraint Thomas,2019-11-07
The Death of Bees,Lisa O’Donnell,2019-10-30
A Year in Provence,Peter Mayle,2019-10-28
The Accident on the A35,Graeme Macrae Burnet,2019-10-21
All The Dying Children,James Halpin,2019-10-15
The Man Who Played With Fire,Jan Stocklass,2019-10-06
Burial of Ghosts,Ann Cleeves,2019-09-13
Mastering Vim Quickly,Jovica Ilic,2019-09-09
The Kill List,Frederick Forsyth,2019-08-25
The Outsider,Stephen King,2019-08-20
The Long Walk,Slavomir Rawicz,2019-08-13
Above Suspicion,Lynda La Plante,2019-08-11
BoardFree,Dave Cornthwaite,2019-08-05
Dark Sacred Night,Michael Connlley,2019-07-25
Journey to a Dream,Craig Briggs,2019-07-05
The Tattooist of Auschwitz,Heather Morris,2019-07-04
The Late Show,Michael Connlley,2019-06-30
4321,Paul Auster,2019-06-15
A Gentleman in Moscow,Amor Towles,2019-06-02
Chronicles,Bob Dylan,2019-05-07
Bounce,Matthew Syed,2019-04-12
The Soldier Who Came Back,Steve Foster,2019-04-10
Moab is My Washpot,Stephen Fry,2019-03-24
Keeper,Graham Norton,2019-03-16
I Robot,Issac Asimov,2019-03-12
Day of the Accident,Nuala Ellwood,2019-03-01
Invisible,Paul Auster,2019-03-02
Blood for Blood,Ziba MacKenzie,2019-02-20
The President Is Missing,James Patterson,2019-02-08
Cheerful Sacrifice The Battle of Arras 1917,Jonathan Nicholls,2019-02-05
Around the World in 80 Days,Mark Beaumont,2019-01-26
An Officer and a Spy,Robert Harris,2019-01-24
Confessions of Felix Krull Confidence Man,Thomas Mann,2019-01-10
